Start Time: 6/2/2024 3:23:10 PM
RDT Sample Rate: 500
Force Units: 1
Counts per Unit Force: 1000000
Torque Units: 2
Counts per Unit Torque: 1000000
Status (hex), RDTSequence, F/T Sequence, Fx , Fy , Fz , Tx , Ty , Tz , Time 
0x0, 1790, 55429, 0.007605001, 0.001617998, 0.01834965, -0.0008060038, -0.002044, 0.0001049973, 15:23:11.492
0x0, 1791, 55430, 0.02112301, -0.0004209876, 0.01068306, -0.0001860037, -0.0004199967, 0.0003839992, 15:23:11.492
0x0, 1792, 55431, -0.008682996, -0.03900099, 0.04722023, 0.0009049997, 0.0006290004, 0.0008339994, 15:23:11.492
0x0, 1793, 55432, -0.006747991, -0.034109, 0.03289318, 0.0009859949, 0.0008319989, 0.001234997, 15:23:11.492
0x0, 1794, 55433, 0.01365, -0.03794099, 0.03637314, 0.001316994, 0.000571005, 0.001302, 15:23:11.492
0x0, 1795, 55434, 0.004668012, -0.033246, 0.01643181, 0.0009739995, 0.0006400049, 0.001114, 15:23:11.492
0x0, 1796, 55435, 0.005082011, -0.013304, 0.003062248, 5.500019E-05, -0.001594, 0.0003729984, 15:23:11.492
0x0, 1797, 55436, -0.018025, -0.000868991, 0.01988316, -0.0005730018, -0.001734994, 0.0007699989, 15:23:11.492
0x0, 1798, 55437, 0.0001970083, -0.007348999, 0.01498127, -0.001139998, -0.001901999, 0.0001729988, 15:23:11.492
0x0, 1799, 55438, -0.002618, -0.01507899, 0.03890896, 8.399785E-05, -0.001703002, 0.001190998, 15:23:11.890
0x0, 1800, 55439, 0.0003039986, -0.015562, 0.02777576, 0.0002389997, -0.001175001, 0.0002739988, 15:23:11.890
0x0, 1801, 55440, -0.014948, -0.021534, 0.02112293, 0.001187995, -0.0002409965, 0.001172997, 15:23:11.890
0x0, 1802, 55441, 0.005773008, -0.021957, 0.05288792, 0.001351997, 0.0001040027, 0.001102999, 15:23:11.890
0x0, 1803, 55442, 0.01028201, -0.030863, 0.03450584, 0.001347996, -0.0006269962, 0.0006419979, 15:23:11.890
0x0, 1804, 55443, -0.00710699, -0.02315299, 0.05080509, 0.0005059987, -0.0004969984, 0.000738997, 15:23:11.890
0x0, 1805, 55444, -0.002978995, -0.006498992, 0.02371407, 0.0002139956, -0.0007779971, 0.0008709989, 15:23:11.890
0x0, 1806, 55445, -0.006655991, -0.02141599, 0.0304451, -0.0004760027, -0.001019001, 0.001220997, 15:23:11.890
0x0, 1807, 55446, -0.002439991, -0.01667699, 0.01319122, -0.000909999, -0.0003679991, 0.0006820001, 15:23:11.890
0x0, 1808, 55447, 0.01152201, 0.009203002, 0.04121113, -0.0005070046, -0.0001010001, 0.0005670004, 15:23:11.890
0x0, 1809, 55448, 0.02279401, -0.009509996, 0.02522755, -5.200505E-05, -0.0002989992, 0.0001059994, 15:23:11.890
0x0, 1810, 55449, -0.004254997, -0.02026799, 0.04539013, 0.001603998, -0.0004220009, 0.001185998, 15:23:11.890
0x0, 1811, 55450, -0.008483991, -0.05839999, 0.05479717, 0.00147, -0.001207002, 0.0008229986, 15:23:11.890
0x0, 1812, 55451, 0.0001390129, -0.02971999, 0.04339314, 0.002072997, -0.0009449944, 0.001303997, 15:23:11.890
0x0, 1813, 55452, -0.002373993, -0.031096, 0.04763794, 0.0008369982, -0.001295, 0.001309998, 15:23:11.906
0x0, 1814, 55453, 0.0006670058, -0.001568988, 0.03923321, -0.0003530011, -0.001476996, 0.0002340004, 15:23:11.906
0x0, 1815, 55454, 0.002937004, 0.00137201, 0.06404495, -0.001079999, -0.0008319989, -0.0002180003, 15:23:11.906
0x0, 1816, 55455, 0.012012, 0.004122004, 0.04551125, -0.001267001, -0.000647001, 0.0006820001, 15:23:11.906
0x0, 1817, 55456, -0.005545989, -0.002812997, 0.06706619, -0.0006200001, -0.000785999, 0.0008540004, 15:23:11.906
0x0, 1818, 55457, -0.007167995, -0.02939799, 0.04021263, 0.0002719983, -0.0005849972, 0.001291998, 15:23:11.906
0x0, 1819, 55458, 0.007972002, -0.03905599, 0.02734566, 0.001529001, 0.0006910041, 0.001490999, 15:23:11.906
0x0, 1820, 55459, 0.01101701, -0.05186999, 0.02308178, 0.001956001, 0.0001880005, 0.001180999, 15:23:11.906
0x0, 1821, 55460, -0.01573099, -0.03005299, 0.0230217, 0.001176, -0.001269996, 0.001869, 15:23:11.906
0x0, 1822, 55461, -0.006276995, -0.03575699, 0.04878902, 0.0002259985, -0.001227997, 0.0008319989, 15:23:11.906
0x0, 1823, 55462, 0.012564, -0.003069997, 0.02987194, 0.0001719967, -0.001208998, 0.001185, 15:23:11.906
0x0, 1824, 55463, -0.01698799, -0.009113997, 0.04065514, -0.0002899989, -0.001341, 0.0001109987, 15:23:11.906
0x0, 1825, 55464, 0.006473005, 0.005881011, 0.03857422, -0.0004070029, -0.001692995, 0.0006750003, 15:23:11.906
0x0, 1826, 55465, 0.01908001, 0.005307004, 0.06270027, -0.0004080012, -0.001125, 0.0003059991, 15:23:11.906
0x0, 1827, 55466, 0.013136, -0.027109, 0.04746246, 0.0007219985, 0.0003890023, 0.001185, 15:23:11.906
0x0, 1828, 55467, 0.007209003, -0.042446, 0.03193855, 0.001683995, -0.0004639998, 0.001442, 15:23:11.906
0x0, 1829, 55468, -0.017444, -0.032251, 0.04700565, 0.001152001, -0.001263, 0.001360998, 15:23:11.906
0x0, 1830, 55469, -0.007470995, -0.03669299, 0.03621864, 0.0007119998, -0.0006200001, 0.001194, 15:23:11.906
0x0, 1831, 55470, 0.00993, -0.02060199, 0.02185249, 0.001053996, -0.0001100004, 0.0006499998, 15:23:11.906
0x0, 1832, 55471, -0.005266994, -0.013688, 0.01876736, 0.0005740002, -0.0008479953, 0.001311999, 15:23:11.906
0x0, 1833, 55472, -0.006632, 0.012307, 0.04122925, -4.000217E-05, -0.001892, 0.0001979992, 15:23:11.906
0x0, 1834, 55473, 0.00241901, 0.006702006, 0.05543995, -0.0009840056, -0.0003679991, 0.0002139993, 15:23:11.906
0x0, 1835, 55474, 0.006802008, -0.022045, 0.04178238, -0.0005329996, 0.0002389997, 0.0009819977, 15:23:11.906
0x0, 1836, 55475, 0.005885005, -0.041327, 0.03786087, 0.0008179992, -0.0008559972, 0.0004509985, 15:23:11.906
0x0, 1837, 55476, -0.02720899, -0.04529099, 0.04446507, 0.001594998, -0.0008249953, 0.001029998, 15:23:11.906
0x0, 1838, 55477, 0.001177013, -0.038444, 0.04894829, 0.001525998, -0.0004310012, 0.001224, 15:23:11.906
0x0, 1839, 55478, -0.01336999, -0.039702, 0.03072834, 0.001180001, -0.0005849972, 0.0007149987, 15:23:11.906
0x0, 1840, 55479, -0.003226995, -0.02337399, 0.0474329, 0.0003900006, -0.001829997, 0.0009879991, 15:23:11.906
0x0, 1841, 55480, -0.01505299, -0.01164499, 0.009960175, -0.0003269985, -0.001045994, 0.0004980005, 15:23:11.906
0x0, 1842, 55481, 0.004334003, -0.007162988, 0.04114914, -0.0005659983, -0.001015998, 0.0001379997, 15:23:11.906
0x0, 1843, 55482, -0.01073599, -0.02349199, 0.05139446, -0.0001590028, -0.001148, 0.0005239993, 15:23:11.906
0x0, 1844, 55483, -0.004120991, -0.02302699, 0.05153179, 0.0002739951, -0.001189001, 0.001412001, 15:23:11.906
0x0, 1845, 55484, 0.007207006, -0.018731, 0.02539635, 0.0013, -0.0005159974, 0.0006499998, 15:23:11.906
0x0, 1846, 55485, 0.011066, -0.020036, 0.04061985, 0.001488, 0.0006450042, 0.0005299971, 15:23:11.906
0x0, 1847, 55486, 0.01553901, -0.02779099, 0.0101366, 0.0009889975, -2.995133E-06, 0.001038, 15:23:11.906
